ID,Park,State,Year,Month,Recreation_ Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Backcountry_Campers,Misc_Campers,Total_Overnight_Stays
1,Black Canyon of the Gunnison NP,CO,2010,January,"2,519",0,"6,898",0,0,19,8,0,0,27
2,Black Canyon of the Gunnison NP,CO,2010,February,"3,034",0,"9,193",0,0,35,13,0,0,48
3,Black Canyon of the Gunnison NP,CO,2010,March,"3,199",0,"8,741",0,0,35,20,0,0,55
4,Black Canyon of the Gunnison NP,CO,2010,April,"4,421",0,"17,747",0,0,169,160,32,0,361
5,Black Canyon of the Gunnison NP,CO,2010,May,"21,259",0,"128,429",0,0,"1,159",715,107,0,"1,981"
6,Black Canyon of the Gunnison NP,CO,2010,June,"24,477",0,"163,138",0,0,"1,172","1,518",184,0,"2,874"
7,Black Canyon of the Gunnison NP,CO,2010,July,"35,398",0,"228,706",0,0,"2,162","1,648",143,0,"3,953"
8,Black Canyon of the Gunnison NP,CO,2010,August,"27,367",0,"165,614",0,0,"1,095","1,293",196,0,"2,584"
9,Black Canyon of the Gunnison NP,CO,2010,September,"24,297",0,"161,738",0,0,"1,455","1,001",320,0,"2,776"
10,Black Canyon of the Gunnison NP,CO,2010,October,"21,331",0,"75,893",0,0,803,630,159,0,"1,592"
11,Black Canyon of the Gunnison NP,CO,2010,November,"3,646",0,"9,242",0,0,50,75,5,0,130
12,Black Canyon of the Gunnison NP,CO,2010,December,"5,396",0,"10,577",0,0,11,8,0,0,19
13,Black Canyon of the Gunnison NP,CO,2011,January,"3,289",0,"10,454",0,0,61,25,4,0,90
14,Black Canyon of the Gunnison NP,CO,2011,February,"3,207",0,"9,542",0,0,26,20,3,0,49
15,Black Canyon of the Gunnison NP,CO,2011,March,"4,012",0,"11,106",0,0,83,31,5,0,119
16,Black Canyon of the Gunnison NP,CO,2011,April,"4,885",0,"18,646",0,0,180,138,7,0,325
17,Black Canyon of the Gunnison NP,CO,2011,May,"12,722",0,"101,447",0,0,"1,047",808,80,0,"1,935"
18,Black Canyon of the Gunnison NP,CO,2011,June,"24,589",0,"184,682",0,0,"1,928","1,656",93,0,"3,677"
19,Black Canyon of the Gunnison NP,CO,2011,July,"28,381",0,"223,287",0,0,"2,606","1,983",135,0,"4,724"
20,Black Canyon of the Gunnison NP,CO,2011,August,"39,032",0,"229,224",0,0,"1,991","1,491",95,0,"3,577"
21,Black Canyon of the Gunnison NP,CO,2011,September,"26,905",0,"173,286",0,0,"1,651","1,146",92,0,"2,889"
22,Black Canyon of the Gunnison NP,CO,2011,October,"12,297",0,"41,912",0,0,338,234,107,0,679
23,Black Canyon of the Gunnison NP,CO,2011,November,"5,031",0,"9,718",0,0,0,22,6,0,28
24,Black Canyon of the Gunnison NP,CO,2011,December,"3,986",0,"11,463",0,0,8,14,4,0,26
25,Black Canyon of the Gunnison NP,CO,2012,January,509,0,"4,749",0,0,6,0,0,0,6
26,Black Canyon of the Gunnison NP,CO,2012,February,717,0,"6,746",0,0,7,0,0,0,7
27,Black Canyon of the Gunnison NP,CO,2012,March,"4,388",0,"12,779",0,0,61,31,0,0,92
28,Black Canyon of the Gunnison NP,CO,2012,April,"9,150",0,"35,450",0,0,267,328,45,0,640
29,Black Canyon of the Gunnison NP,CO,2012,May,"24,991",0,"164,437",0,0,"1,281","1,287",109,0,"2,677"
30,Black Canyon of the Gunnison NP,CO,2012,June,"41,757",0,"252,216",0,0,"2,206","1,697",143,0,"4,046"
31,Black Canyon of the Gunnison NP,CO,2012,July,"37,371",0,"239,254",0,0,"2,301","1,863",119,0,"4,283"
32,Black Canyon of the Gunnison NP,CO,2012,August,"26,047",0,"177,184",0,0,"1,735","1,443",141,0,"3,319"
33,Black Canyon of the Gunnison NP,CO,2012,September,"23,919",0,"157,743",0,0,"1,262","1,344",81,0,"2,687"
34,Black Canyon of the Gunnison NP,CO,2012,October,"12,742",0,"67,620",0,0,917,942,28,0,"1,887"
35,Black Canyon of the Gunnison NP,CO,2012,November,"7,126",0,"13,413",0,0,14,25,0,0,39
36,Black Canyon of the Gunnison NP,CO,2012,December,"3,853",0,"9,958",0,0,0,19,0,0,19
37,Black Canyon of the Gunnison NP,CO,2013,January,"4,046",0,"14,006",0,0,0,17,4,0,21
38,Black Canyon of the Gunnison NP,CO,2013,February,"3,410",0,"15,856",0,0,96,31,0,0,127
39,Black Canyon of the Gunnison NP,CO,2013,March,"6,698",0,"17,814",0,0,74,31,0,0,105
40,Black Canyon of the Gunnison NP,CO,2013,April,"8,606",0,"24,570",0,0,206,72,13,0,291
41,Black Canyon of the Gunnison NP,CO,2013,May,"23,708",0,"158,096",0,0,"1,325","1,137",105,0,"2,567"
42,Black Canyon of the Gunnison NP,CO,2013,June,"21,927",0,"184,494",0,0,"2,122","1,850",175,0,"4,146"
43,Black Canyon of the Gunnison NP,CO,2013,July,"37,010",0,"248,675",0,0,"2,611","1,975",95,0,"4,681"
44,Black Canyon of the Gunnison NP,CO,2013,August,"33,279",0,"210,625",0,0,"2,004","1,542",90,0,"3,636"
45,Black Canyon of the Gunnison NP,CO,2013,September,"23,945",0,"159,130",0,0,"1,351","1,463",56,0,"2,870"
46,Black Canyon of the Gunnison NP,CO,2013,October,"5,789",0,"19,585",0,0,152,168,37,0,357
47,Black Canyon of the Gunnison NP,CO,2013,November,"3,296",0,"7,721",0,0,0,14,0,0,14
48,Black Canyon of the Gunnison NP,CO,2013,December,"4,138",0,"12,083",0,0,8,6,0,0,14
49,Black Canyon of the Gunnison NP,CO,2014,January,"3,469",0,"10,578",0,0,6,0,0,0,6
50,Black Canyon of the Gunnison NP,CO,2014,February,"4,031",0,"12,736",0,0,15,0,0,0,15
51,Black Canyon of the Gunnison NP,CO,2014,March,"4,302",0,"8,812",0,0,26,0,0,0,26
52,Black Canyon of the Gunnison NP,CO,2014,April,"6,761",0,"26,579",0,0,272,206,27,0,504
53,Black Canyon of the Gunnison NP,CO,2014,May,"21,157",0,"139,449",0,0,"1,338",835,89,0,"2,262"
54,Black Canyon of the Gunnison NP,CO,2014,June,"28,536",0,"193,000",0,0,"1,994","1,376",45,0,"3,415"
55,Black Canyon of the Gunnison NP,CO,2014,July,"42,253",0,"238,187",0,0,"1,977","1,466",77,0,"3,521"
56,Black Canyon of the Gunnison NP,CO,2014,August,"25,712",0,"186,949",0,0,"1,819","1,384",60,0,"3,263"
57,Black Canyon of the Gunnison NP,CO,2014,September,"24,788",0,"121,631",0,0,737,358,54,0,"1,149"
58,Black Canyon of the Gunnison NP,CO,2014,October,"13,432",0,"86,912",0,0,"1,257","1,473",33,0,"2,764"
59,Black Canyon of the Gunnison NP,CO,2014,November,"4,925",0,"18,939",0,0,230,271,3,0,504
60,Black Canyon of the Gunnison NP,CO,2014,December,"3,679",0,"7,965",0,0,14,0,2,0,16
61,Black Canyon of the Gunnison NP,CO,2015,January,"4,600",0,"9,659",0,0,8,0,0,0,8
62,Black Canyon of the Gunnison NP,CO,2015,February,"4,136",0,"8,495",0,0,15,7,0,0,22
63,Black Canyon of the Gunnison NP,CO,2015,March,"5,968",0,"13,332",0,0,55,20,10,0,84
64,Black Canyon of the Gunnison NP,CO,2015,April,"8,896",0,"33,898",0,0,377,145,98,0,619
65,Black Canyon of the Gunnison NP,CO,2015,May,"23,176",0,"141,456",0,0,"1,121",879,159,0,"2,158"
66,Black Canyon of the Gunnison NP,CO,2015,June,"33,141",0,"216,096",0,0,"1,948","1,575",259,0,"3,781"
67,Black Canyon of the Gunnison NP,CO,2015,July,"45,328",0,"297,871",0,0,"2,970","2,682",77,0,"5,729"
68,Black Canyon of the Gunnison NP,CO,2015,August,"27,197",0,"203,460",0,0,"2,276","1,720",224,0,"4,219"
69,Black Canyon of the Gunnison NP,CO,2015,September,"29,878",0,"191,431",0,0,"1,958",917,172,0,"3,047"
70,Black Canyon of the Gunnison NP,CO,2015,October,"16,626",0,"84,382",0,0,"1,585",638,91,0,"2,314"
71,Black Canyon of the Gunnison NP,CO,2015,November,"5,550",0,"14,029",0,0,166,36,0,0,202
72,Black Canyon of the Gunnison NP,CO,2015,December,"4,670",0,"12,317",0,0,11,0,0,0,11
73,Black Canyon of the Gunnison NP,CO,2016,January,"5,510",0,"15,326",0,0,19,3,0,0,22
74,Black Canyon of the Gunnison NP,CO,2016,February,"3,932",0,"9,623",0,0,20,0,0,0,20
75,Black Canyon of the Gunnison NP,CO,2016,March,"2,850",0,"6,544",0,0,57,11,8,0,76
76,Black Canyon of the Gunnison NP,CO,2016,April,"9,871",0,"35,774",0,0,545,110,81,0,736
77,Black Canyon of the Gunnison NP,CO,2016,May,"28,055",0,"223,087",0,0,"2,758","1,556",232,0,"4,546"
78,Black Canyon of the Gunnison NP,CO,2016,June,"34,433",0,"258,900",0,0,"2,780","1,899",545,0,"5,223"
79,Black Canyon of the Gunnison NP,CO,2016,July,"47,029",0,"342,944",0,0,"4,197","2,429",373,0,"6,999"
80,Black Canyon of the Gunnison NP,CO,2016,August,"34,384",0,"282,735",0,0,"3,856","2,162",344,0,"6,361"
81,Black Canyon of the Gunnison NP,CO,2016,September,"38,169",0,"248,054",0,0,"1,930","1,819",249,0,"3,998"
82,Black Canyon of the Gunnison NP,CO,2016,October,"19,113",0,"120,141",0,0,"2,299","1,326",90,0,"3,715"
83,Black Canyon of the Gunnison NP,CO,2016,November,"8,955",0,"39,423",0,0,584,557,14,0,"1,155"
84,Black Canyon of the Gunnison NP,CO,2016,December,"5,717",0,"12,988",0,0,25,6,0,0,30
85,Black Canyon of the Gunnison NP,CO,2017,January,"6,925",0,"16,887",0,0,19,8,0,0,28
86,Black Canyon of the Gunnison NP,CO,2017,February,"3,361",0,"7,902",0,0,24,7,0,0,31
87,Black Canyon of the Gunnison NP,CO,2017,March,"7,147",0,"19,739",0,0,217,35,22,0,274
88,Black Canyon of the Gunnison NP,CO,2017,April,"11,292",0,"53,152",0,0,804,307,65,0,"1,175"
89,Black Canyon of the Gunnison NP,CO,2017,May,"29,218",0,"218,627",0,0,"2,290","1,602",253,0,"4,145"
90,Black Canyon of the Gunnison NP,CO,2017,June,"40,616",0,"307,848",0,0,"3,895","2,309",217,0,"6,421"
91,Black Canyon of the Gunnison NP,CO,2017,July,"44,532",0,"327,968",0,0,"3,868","2,549",420,0,"6,836"
92,Black Canyon of the Gunnison NP,CO,2017,August,"40,788",0,"287,857",0,0,"3,205","2,017",385,0,"5,607"
93,Black Canyon of the Gunnison NP,CO,2017,September,"45,983",0,"308,465",0,0,"2,776","2,741",156,0,"5,673"
94,Black Canyon of the Gunnison NP,CO,2017,October,"54,766",0,"145,802",0,0,"1,367",493,170,0,"2,029"
95,Black Canyon of the Gunnison NP,CO,2017,November,"19,473",0,"43,862",0,0,277,136,15,0,428
96,Black Canyon of the Gunnison NP,CO,2017,December,"3,042",0,"8,445",0,0,53,53,5,0,110
97,Black Canyon of the Gunnison NP,CO,2018,January,"7,600",0,"15,059",0,0,8,11,0,0,19
98,Black Canyon of the Gunnison NP,CO,2018,February,"5,231",0,"13,097",0,0,15,20,0,0,35
99,Black Canyon of the Gunnison NP,CO,2018,March,"7,687",0,"20,016",0,0,195,31,2,0,228
100,Black Canyon of the Gunnison NP,CO,2018,April,"11,728",0,"50,301",0,0,718,228,150,0,"1,096"
101,Black Canyon of the Gunnison NP,CO,2018,May,"48,554",0,"344,951",0,0,"3,240","2,728",313,0,"6,281"
102,Black Canyon of the Gunnison NP,CO,2018,June,"42,306",0,"320,474",0,0,"3,479","2,475",543,0,"6,497"
103,Black Canyon of the Gunnison NP,CO,2018,July,"44,962",0,"344,365",0,0,"4,265","2,576",413,0,"7,254"
104,Black Canyon of the Gunnison NP,CO,2018,August,"46,511",0,"318,031",0,0,"3,548","2,212",283,0,"6,044"
105,Black Canyon of the Gunnison NP,CO,2018,September,"46,915",0,"259,107",0,0,"1,549","1,227",275,0,"3,051"
106,Black Canyon of the Gunnison NP,CO,2018,October,"22,062",0,"84,034",0,0,"1,311",607,109,0,"2,027"
107,Black Canyon of the Gunnison NP,CO,2018,November,"21,674",0,"69,982",0,0,"1,169",410,0,0,"1,579"
108,Black Canyon of the Gunnison NP,CO,2018,December,"3,732",0,"8,304",0,0,30,6,0,0,36
109,Black Canyon of the Gunnison NP,CO,2019,January,"4,921",0,"8,886",0,0,3,0,0,0,3
110,Black Canyon of the Gunnison NP,CO,2019,February,"6,369",0,"17,066",0,0,11,0,2,0,13
111,Black Canyon of the Gunnison NP,CO,2019,March,"12,180",0,"26,934",0,0,64,20,0,0,83
112,Black Canyon of the Gunnison NP,CO,2019,April,"25,077",0,"59,350",0,0,140,394,68,0,602
113,Black Canyon of the Gunnison NP,CO,2019,May,"75,198",0,"409,684",0,0,"2,780","1,836",244,0,"4,860"
114,Black Canyon of the Gunnison NP,CO,2019,June,"75,289",0,"435,444",0,0,"3,550","2,502",576,0,"6,628"
115,Black Canyon of the Gunnison NP,CO,2019,July,"51,368",0,"342,640",0,0,"3,585","2,127",441,0,"6,153"
116,Black Canyon of the Gunnison NP,CO,2019,August,"80,046",0,"430,953",0,0,"3,526","2,004",267,0,"5,797"
117,Black Canyon of the Gunnison NP,CO,2019,September,"48,420",0,"267,642",0,0,"1,659","1,666",164,0,"3,489"
118,Black Canyon of the Gunnison NP,CO,2019,October,"25,828",0,"127,525",0,0,"2,037","1,397",93,0,"3,527"
119,Black Canyon of the Gunnison NP,CO,2019,November,"22,684",0,"54,417",0,0,427,269,6,0,701
120,Black Canyon of the Gunnison NP,CO,2019,December,"5,438",0,"13,962",0,0,14,58,0,0,72
121,Black Canyon of the Gunnison NP,CO,2020,January,"8,107",0,"19,759",0,0,3,14,0,0,17
122,Black Canyon of the Gunnison NP,CO,2020,February,"9,112",0,"21,408",0,0,7,13,2,0,22
123,Black Canyon of the Gunnison NP,CO,2020,March,"5,849",0,"11,305",0,0,7,13,0,0,20
124,Black Canyon of the Gunnison NP,CO,2020,April,"19,803",0,"34,708",0,0,0,0,0,0,0
125,Black Canyon of the Gunnison NP,CO,2020,May,"25,976",0,"107,752",0,0,0,0,0,0,0
126,Black Canyon of the Gunnison NP,CO,2020,June,"27,583",0,"265,350",0,0,"3,514","1,901",721,0,"6,137"
127,Black Canyon of the Gunnison NP,CO,2020,July,"61,521",0,"426,274",0,0,"4,953","2,366",631,0,"7,951"
128,Black Canyon of the Gunnison NP,CO,2020,August,"58,097",0,"387,074",0,0,"4,427","1,887",525,0,"6,839"
129,Black Canyon of the Gunnison NP,CO,2020,September,"48,257",0,"334,776",0,0,"3,249","2,548",281,0,"6,077"
130,Black Canyon of the Gunnison NP,CO,2020,October,"47,739",0,"188,031",0,0,"2,024","1,913",223,0,"4,160"
131,Black Canyon of the Gunnison NP,CO,2020,November,"23,249",0,"59,586",0,0,526,299,36,0,861
132,Black Canyon of the Gunnison NP,CO,2020,December,"6,327",0,"18,785",0,0,58,25,0,0,83
133,Great Sand Dunes NP & PRES,CO,2010,January,"1,328",35,"4,067",35,0,63,40,0,0,103
134,Great Sand Dunes NP & PRES,CO,2010,February,"2,110",35,"5,262",35,0,59,13,3,0,75
135,Great Sand Dunes NP & PRES,CO,2010,March,"9,530",35,"20,978",35,0,0,0,145,0,145
136,Great Sand Dunes NP & PRES,CO,2010,April,"9,083",35,"39,486",35,0,729,294,37,491,"1,551"
137,Great Sand Dunes NP & PRES,CO,2010,May,"44,932",45,"340,210",45,0,"4,316","2,373",575,"1,588","8,852"
138,Great Sand Dunes NP & PRES,CO,2010,June,"56,799",45,"416,644",45,0,"5,838","2,789",409,"1,607","10,643"
139,Great Sand Dunes NP & PRES,CO,2010,July,"60,734",45,"401,125",45,0,"5,808","2,492",303,"1,225","9,828"
140,Great Sand Dunes NP & PRES,CO,2010,August,"46,552",45,"333,377",45,0,"5,359","1,973",231,901,"8,464"
141,Great Sand Dunes NP & PRES,CO,2010,September,"28,728",45,"241,093",45,0,"3,412","2,257",222,561,"6,452"
142,Great Sand Dunes NP & PRES,CO,2010,October,"16,344",35,"75,579",35,0,"1,469","1,096",217,331,"3,113"
143,Great Sand Dunes NP & PRES,CO,2010,November,"4,759",35,"16,448",35,0,307,168,27,0,502
144,Great Sand Dunes NP & PRES,CO,2010,December,"2,385",35,"6,117",35,0,63,33,2,0,98
145,Great Sand Dunes NP & PRES,CO,2011,January,"1,428",35,"3,422",35,0,26,7,10,0,43
146,Great Sand Dunes NP & PRES,CO,2011,February,"2,316",35,"5,643",35,0,50,20,4,0,74
147,Great Sand Dunes NP & PRES,CO,2011,March,"9,919",35,"38,658",35,0,848,403,135,0,"1,386"
148,Great Sand Dunes NP & PRES,CO,2011,April,"9,453",35,"45,064",35,0,"1,007",495,179,245,"1,926"
149,Great Sand Dunes NP & PRES,CO,2011,May,"43,793",45,"321,124",45,0,"3,967","2,142",560,"1,646","8,315"
150,Great Sand Dunes NP & PRES,CO,2011,June,"58,163",45,"403,337",45,0,"5,742","2,581",235,"1,549","10,107"
151,Great Sand Dunes NP & PRES,CO,2011,July,"62,020",45,"407,914",45,0,"5,983","2,350",658,"1,018","10,009"
152,Great Sand Dunes NP & PRES,CO,2011,August,"44,320",45,"262,445",45,0,"3,244","2,855",0,0,"6,099"
153,Great Sand Dunes NP & PRES,CO,2011,September,"26,900",45,"226,331",45,0,"3,260","1,818",210,771,"6,059"
154,Great Sand Dunes NP & PRES,CO,2011,October,"14,625",35,"61,952",35,0,"1,003",908,158,312,"2,381"
155,Great Sand Dunes NP & PRES,CO,2011,November,"4,718",35,"13,689",35,0,191,86,36,0,313
156,Great Sand Dunes NP & PRES,CO,2011,December,"2,403",35,"6,356",35,0,79,23,16,0,118
157,Great Sand Dunes NP & PRES,CO,2012,January,"1,596",35,"4,610",35,0,56,30,17,0,103
158,Great Sand Dunes NP & PRES,CO,2012,February,"1,856",35,"4,693",35,0,30,26,15,0,71
159,Great Sand Dunes NP & PRES,CO,2012,March,"11,076",35,"45,324",35,0,"1,122",386,185,0,"1,693"
160,Great Sand Dunes NP & PRES,CO,2012,April,"9,905",35,"54,530",35,0,"1,399",647,161,321,"2,528"
161,Great Sand Dunes NP & PRES,CO,2012,May,"37,522",45,"239,853",45,0,"2,858","1,221",613,"1,146","5,838"
162,Great Sand Dunes NP & PRES,CO,2012,June,"49,878",45,"353,710",45,0,"4,363","2,795",484,"1,289","8,931"
163,Great Sand Dunes NP & PRES,CO,2012,July,"51,518",45,"333,778",45,0,"4,930","2,178",430,587,"8,125"
164,Great Sand Dunes NP & PRES,CO,2012,August,"42,154",45,"214,613",45,0,"2,627","1,125",366,471,"4,589"
165,Great Sand Dunes NP & PRES,CO,2012,September,"27,384",45,"176,281",45,0,"2,439","1,132",218,488,"4,277"
166,Great Sand Dunes NP & PRES,CO,2012,October,"14,126",35,"63,878",35,0,"1,475",799,73,238,"2,585"
167,Great Sand Dunes NP & PRES,CO,2012,November,"5,408",35,"17,693",35,0,320,145,33,0,498
168,Great Sand Dunes NP & PRES,CO,2012,December,"2,251",35,"5,888",35,0,63,20,18,0,101
169,Great Sand Dunes NP & PRES,CO,2013,January,"1,399",35,"3,418",35,0,30,13,2,0,45
170,Great Sand Dunes NP & PRES,CO,2013,February,"1,059",35,"2,988",35,0,33,23,7,0,63
171,Great Sand Dunes NP & PRES,CO,2013,March,"10,845",35,"34,876",35,0,584,224,147,0,956
172,Great Sand Dunes NP & PRES,CO,2013,April,"10,486",35,"50,508",35,0,"1,125",373,120,525,"2,143"
173,Great Sand Dunes NP & PRES,CO,2013,May,"34,661",45,"222,449",45,0,"2,597","1,109",562,"1,137","5,405"
174,Great Sand Dunes NP & PRES,CO,2013,June,"47,565",45,"378,483",45,0,"5,716","2,449",474,"1,343","9,981"
175,Great Sand Dunes NP & PRES,CO,2013,July,"51,852",45,"263,943",45,0,"3,287","1,096",301,957,"5,640"
176,Great Sand Dunes NP & PRES,CO,2013,August,"40,309",45,"236,416",45,0,"2,980","1,251",428,844,"5,503"
177,Great Sand Dunes NP & PRES,CO,2013,September,"30,624",45,"125,932",45,0,"1,092",531,146,533,"2,303"
178,Great Sand Dunes NP & PRES,CO,2013,October,"6,776",35,"26,790",35,0,505,257,85,122,969
179,Great Sand Dunes NP & PRES,CO,2013,November,"4,953",35,"10,182",35,0,0,0,24,0,24
180,Great Sand Dunes NP & PRES,CO,2013,December,"2,312",35,"4,679",35,0,0,0,4,0,4
181,Great Sand Dunes NP & PRES,CO,2014,January,"1,404",35,"2,946",35,0,0,0,10,0,10
182,Great Sand Dunes NP & PRES,CO,2014,February,"1,095",35,"2,301",35,0,0,0,8,0,8
183,Great Sand Dunes NP & PRES,CO,2014,March,"9,348",35,"21,800",35,0,0,0,243,0,243
184,Great Sand Dunes NP & PRES,CO,2014,April,"10,868",35,"53,739",35,0,"1,099",673,124,430,"2,326"
185,Great Sand Dunes NP & PRES,CO,2014,May,"30,445",45,"304,147",45,0,"3,864","2,409",741,"1,575","8,589"
186,Great Sand Dunes NP & PRES,CO,2014,June,"49,808",45,"383,370",45,0,"5,032","3,056",613,"1,296","9,997"
187,Great Sand Dunes NP & PRES,CO,2014,July,"55,238",45,"379,209",45,0,"5,217","2,782",426,"1,026","9,451"
188,Great Sand Dunes NP & PRES,CO,2014,August,"52,500",45,"363,962",45,0,"5,475","2,373",668,605,"9,120"
189,Great Sand Dunes NP & PRES,CO,2014,September,"32,678",45,"245,924",45,0,"3,237","2,402",344,396,"6,380"
190,Great Sand Dunes NP & PRES,CO,2014,October,"22,024",35,"98,102",35,0,"1,957","1,485",201,290,"3,933"
191,Great Sand Dunes NP & PRES,CO,2014,November,"4,202",35,"8,722",35,0,0,0,23,0,23
192,Great Sand Dunes NP & PRES,CO,2014,December,"2,164",35,"4,382",35,0,0,0,4,0,4
193,Great Sand Dunes NP & PRES,CO,2015,January,"1,354",35,"2,778",35,0,0,0,7,0,7
194,Great Sand Dunes NP & PRES,CO,2015,February,"1,003",35,"2,283",35,0,0,0,20,0,20
195,Great Sand Dunes NP & PRES,CO,2015,March,"8,221",35,"19,713",35,0,0,0,246,0,246
196,Great Sand Dunes NP & PRES,CO,2015,April,"10,587",35,"75,533",35,0,"1,789","1,238",287,644,"3,957"
197,Great Sand Dunes NP & PRES,CO,2015,May,"40,804",45,"354,498",45,0,"4,676","2,673",695,"1,597","9,641"
198,Great Sand Dunes NP & PRES,CO,2015,June,"60,712",45,"415,250",45,0,"5,726","2,521",803,"1,343","10,393"
199,Great Sand Dunes NP & PRES,CO,2015,July,"56,935",45,"406,004",45,0,"6,032","2,551",533,"1,172","10,288"
200,Great Sand Dunes NP & PRES,CO,2015,August,"54,096",45,"377,811",45,0,"5,726","2,495",493,766,"9,479"
201,Great Sand Dunes NP & PRES,CO,2015,September,"36,735",45,"217,891",45,0,"2,574","1,709",356,435,"5,074"
202,Great Sand Dunes NP & PRES,CO,2015,October,"23,159",35,"109,790",35,0,"2,211","1,841",284,305,"4,641"
203,Great Sand Dunes NP & PRES,CO,2015,November,"3,861",35,"7,943",35,0,0,0,17,0,17
204,Great Sand Dunes NP & PRES,CO,2015,December,"2,046",35,"4,259",35,0,0,0,13,0,13
205,Great Sand Dunes NP & PRES,CO,2016,January,"1,503",35,"3,283",35,0,0,0,20,0,20
206,Great Sand Dunes NP & PRES,CO,2016,February,"3,485",35,"7,604",35,0,0,0,46,0,46
207,Great Sand Dunes NP & PRES,CO,2016,March,"10,009",35,"23,013",35,0,0,0,245,0,245
208,Great Sand Dunes NP & PRES,CO,2016,April,"13,851",35,"80,846",35,0,"1,723","1,247",187,705,"3,862"
209,Great Sand Dunes NP & PRES,CO,2016,May,"50,657",45,"366,230",45,0,"4,709","2,653",693,"1,296","9,351"
210,Great Sand Dunes NP & PRES,CO,2016,June,"77,174",45,"471,509",45,0,"5,230","3,135","1,157","1,657","11,180"
211,Great Sand Dunes NP & PRES,CO,2016,July,"79,425",45,"472,544",45,0,"6,188","2,445",785,"1,601","11,019"
212,Great Sand Dunes NP & PRES,CO,2016,August,"59,329",45,"387,430",45,0,"5,551","2,409",548,957,"9,465"
213,Great Sand Dunes NP & PRES,CO,2016,September,"47,478",45,"347,974",45,0,"4,627","3,214",461,591,"8,893"
214,Great Sand Dunes NP & PRES,CO,2016,October,"30,776",35,"144,738",35,0,"2,729","2,429",246,647,"6,051"
215,Great Sand Dunes NP & PRES,CO,2016,November,"10,574",35,"22,514",35,0,0,0,107,0,107
216,Great Sand Dunes NP & PRES,CO,2016,December,"4,047",35,"8,274",35,0,0,0,13,0,13
217,Great Sand Dunes NP & PRES,CO,2017,January,"3,173",35,"6,609",35,0,0,0,21,0,21
218,Great Sand Dunes NP & PRES,CO,2017,February,"6,547",35,"13,356",35,0,0,0,21,0,21
219,Great Sand Dunes NP & PRES,CO,2017,March,"24,744",35,"51,669",35,0,0,0,168,0,168
220,Great Sand Dunes NP & PRES,CO,2017,April,"23,064",35,"100,274",35,0,"1,818","1,422",240,451,"3,932"
221,Great Sand Dunes NP & PRES,CO,2017,May,"67,737",45,"397,242",45,0,"4,363","2,983",818,"1,071","9,235"
222,Great Sand Dunes NP & PRES,CO,2017,June,"96,529",45,"474,809",45,0,"5,280","2,640",892,"1,111","9,923"
223,Great Sand Dunes NP & PRES,CO,2017,July,"97,242",45,"499,707",45,0,"6,593","2,554",617,970,"10,735"
224,Great Sand Dunes NP & PRES,CO,2017,August,"73,579",45,"340,651",45,0,"3,778","1,482",670,899,"6,829"
225,Great Sand Dunes NP & PRES,CO,2017,September,"47,673",45,"263,545",45,0,"2,739","2,043",514,640,"5,936"
226,Great Sand Dunes NP & PRES,CO,2017,October,"29,763",35,"124,897",35,0,"2,211","1,848",211,481,"4,751"
227,Great Sand Dunes NP & PRES,CO,2017,November,"10,510",35,"22,317",35,0,0,0,103,0,103
228,Great Sand Dunes NP & PRES,CO,2017,December,"6,374",35,"13,259",35,0,0,0,38,0,38
229,Great Sand Dunes NP & PRES,CO,2018,January,"3,551",35,"7,834",35,0,0,0,57,0,57
230,Great Sand Dunes NP & PRES,CO,2018,February,"5,579",35,"11,986",35,0,0,0,66,0,66
231,Great Sand Dunes NP & PRES,CO,2018,March,"26,387",35,"56,514",35,0,0,0,291,0,291
232,Great Sand Dunes NP & PRES,CO,2018,April,"20,899",35,"104,196",35,0,"2,000","1,538",261,753,"4,552"
233,Great Sand Dunes NP & PRES,CO,2018,May,"63,953",45,"459,447",45,0,"4,953","3,594","1,018","2,130","11,695"
234,Great Sand Dunes NP & PRES,CO,2018,June,"77,494",45,"454,161",45,0,"5,240","3,277",735,"1,275","10,527"
235,Great Sand Dunes NP & PRES,CO,2018,July,"79,486",45,"456,315",45,0,"6,260","2,541",563,"1,097","10,461"
236,Great Sand Dunes NP & PRES,CO,2018,August,"71,774",45,"430,398",45,0,"5,686","2,838",682,904,"10,110"
237,Great Sand Dunes NP & PRES,CO,2018,September,"49,941",45,"347,875",45,0,"3,759","3,617",480,880,"8,736"
238,Great Sand Dunes NP & PRES,CO,2018,October,"29,007",35,"127,308",35,0,"1,934","2,260",256,605,"5,055"
239,Great Sand Dunes NP & PRES,CO,2018,November,"10,430",35,"21,522",35,0,0,0,51,0,51
240,Great Sand Dunes NP & PRES,CO,2018,December,"4,404",35,"9,001",35,0,0,0,15,0,15
241,Great Sand Dunes NP & PRES,CO,2019,January,"4,404",35,"8,835",35,0,0,0,2,0,2
242,Great Sand Dunes NP & PRES,CO,2019,February,"5,154",35,"10,487",35,0,0,0,15,0,15
243,Great Sand Dunes NP & PRES,CO,2019,March,"19,541",35,"41,801",35,0,0,0,202,0,202
244,Great Sand Dunes NP & PRES,CO,2019,April,"25,183",35,"116,321",35,0,"1,970","1,884",304,636,"4,794"
